Temp;pH;Turb;Fosf;NH3;Kje;NO3;NO2;DBO;Vazao;ppt;OD
24;7,1;6;0,396;0,2;1,2;0,38;0,115;6;51;0,0;0,6
26;7,3;13;0,385;0,2;1,2;0,38;0,115;9;83;0,0;4,1
27;7,2;58;0,344;0,75;0,87;0,2;0,17;6;356;47,9;3,9
29;7,3;31;0,246;0,2;0,2;1,1;0,124;4;215;0,0;4,5
24;6,7;20;0,328;0,25;0,4;1,05;0,005;22;106;0,0;0,3
20;7,2;6;0,285;1,9;2;0,24;0,163;7;50;0,0;3
23;7;7;0,02;2,2;2,7;1,1;0,45;6;49;0,0;1,6
26;7;150;0,953;1,11;1,31;2,6;0,165;27;78;35,9;1,8
27;7,1;105;0,037;0,525;0,553;0,788;0,172;11;265;1,3;4,8
26;7,1;66;2,09;0,49;0,92;1,1;0,152;7;125;8,5;5,2
20,5;7;7,5;0,126;0,71;0,76;1,4;0,299;6;73;0,0;2,8
20,1;7,5;4,7;0,513;5,5;5,7;0,85;0,135;7;37;0,0;1,3
23,8;7,4;5,1;1,13;5;5,2;0,9;0,088;7;23;0,0;0,3
24,3;6,9;120;1,53;1;1,8;1,2;0,192;17;76;32,6;1,8
27;7;86;0,674;0,34;0,72;1,8;0,141;7;179;0,0;4,9
26,6;7,1;51;0,551;0,55;0,79;1,6;0,142;5;159;0,0;4,4
21,6;7,1;19;0,062;0,63;0,68;2;0,213;7;109;0,0;5,2
17,8;6,9;170;0,339;0,85;1;1,2;0,065;20;124;33,9;6,1
26,9;7,3;5;0,628;2,8;3;0,93;0,203;5;39,2;0,0;1,2
25,4;7,2;29;0,1;0,3;0,9;1,8;0,14;6;103;0,0;4,2
27,1;7,1;60;0,3;0,2;0,7;1,1;0,14;12;310;28,8;4,8
27,1;6,9;68;0,5;1;1;1;0,2;14;254;36,3;2,2
23,1;7;10;0,4;0,9;1;2;0,3;7;142;0,0;4,1
18,6;7;7,4;0,4;1;1;2;0,2;6;74;0,0;3,1
22,2;7,3;6,3;0,3;2;3;0,6;0,2;6;75;6,1;2
25,3;7,2;20;0,9;2;3;1;0,3;7;59;2,8;1,8
29,9;7,1;14;0,3;0,7;0,8;1;0,3;7;146;0,0;2,7
26,1;7,2;37;0,27;0,56;1,15;1,27;0,13;5;64;0,0;4,7
21,3;7,2;8,5;0,13;0,97;1,43;1,39;0,32;5;66;0,0;4,4
21;7,1;8,5;0,4;2;2;2;0,3;7;54;0,0;3,1
23,8;7,1;12;0,4;1;2;1;0,4;6;46;0,0;1,3
25,9;7,2;32;0,6;1;1;0,7;0,1;6;67;2,8;0,4
26,1;7,1;191;0,13;0,18;0,56;0,78;0,09;5;363;1,8;5,8
27,1;7,1;41,1;0,17;1,09;1,28;0,89;0,27;7;125;0,9;3,1
22,6;7,2;11;0,3;0,8;0,9;2;0,4;7;67;6,8;2,8
18,2;6,8;118;0,7;2;3;1;0,1;19;123;36,4;4,1
20,2;7,4;6,17;0,8;2;2;1;0,2;7;32;0,0;1,4
25,1;7,2;18,7;0,5;1;1;2,1;2;8;117;0,0;2,9
23;7;175;0,5;0,2;0,2;2;0,1;3;177;72,0;5,1
26;7;38,1;0,4;1;1;7,1;0,3;7;149;0,6;2,4
21,3;6,8;80;0,3;0,05;0,05;6,8;0,09;5;135;0,0;6,9
21,4;7;11,7;0,5;1;1;1,8;0,2;6;58,7;0,0;4,5
20,1;7,2;9,6;0,4;2;2;1,9;0,2;6;48,1;0,0;3,3
26,9;7;21,8;0,27;2,12;2,72;1,35;0,28;6;68,7;4,8;2,6
24,7;7,1;200;1;0,5;0,5;1,1;0,1;9;182;0,0;5,6
29;6,9;79,6;0,7;0,7;0,7;1,6;0,1;5;170;0,0;4,6
21,3;7,2;19,1;1;2;2;0,3;0,3;7;68,7;0,0;4,8
21,4;7,1;42;0,8;1;1;2;0,2;8;73,2;0,5;5
24,2;7,1;62,2;0,8;1;2;1;0,3;9;107;10,2;2,6
28,6;7;230;4;0,7;0,8;1;0,3;8;144;0,0;4,1
27,3;6,9;245;0,4;0,3;0,4;0,5;0,04;6;581;7,9;6,3
24;6,7;84,9;0,2;0,2;0,5;0,6;0,1;3;305;0,8;6,5
21,8;6,9;17,7;0,3;0,8;1;2;0,2;5;103;0,0;4,9
19,6;7,1;104;0,7;2;2;0,8;0,1;17;78,8;21,7;5,3
22,5;7;38,9;0,6;2;3;0,77;0,4;12;51,5;7,7;2,4
24,8;6,8;9,34;0,4;2;2;1,08;0,46;8;64,5;8,9;1,7
26,9;7,1;190;0,05;0,3;1;0,67;0,06;3;640;2,0;5,9
24,9;6,9;368;0,2;0,6;2;0,7;0,09;10;374;24,0;5,8
17,9;7,3;14,4;0,2;1;2;1,3;0,25;6;121;0,0;5,3
22,7;7,3;10,8;0,248;2;2;1,15;0,22;6;70,5;0,0;4,7
22,3;7,2;6,43;0,414;2;2;1,22;0,27;8;49;0,0;2,2
22,4;6,8;938;0,076;0,4;2;0,95;0,05;14;160;4,8;5,7
24,4;7;400;0,007;0,5;1;0,87;0,12;9;340;25,1;6,6
25;7,1;49,5;0,007;0,5;0,8;1,34;0,3;7;136;0,7;5,5
22,3;7,2;15,7;0,062;1;1;1,41;0,22;7;147;0,0;5,8
18,3;7,1;16,2;0,165;1;1;1,4;0,2;7;121;13,2;6,9
23,6;7,1;8,95;0,338;2;3;1,16;0,22;9;57;0,0;4,8
27,3;7;48,8;0,392;2;3;1,16;0,31;9;65;3,4;3,7
